Titre,Lien,Description,Tags,Date,Nom_de_la_chaine,Nombre_de_like,Nombre_de_vue;;;;;;
 france.tv ▶️ https://bit.ly/SlashFTV;;;;;;
 Instagram ▶️ https://bit.ly/SlashIg;;;;;;
 Facebook ▶️ https://bit.ly/SlashFB;;;;;;
" Twitter ▶️ https://bit.ly/SlashTW"",""slash francetv francetv_slash rixes enquêtes violence rencontre armes assassinat prison victime drogue Prisonnier immersion COVID19 détention Talk débat documentaire cellule détenus prisonniers clichés liberté mineurs"",2022-04-03,""francetv slash / enquêtes"",1209,117473";;;;;;
"L&#39;isolement des séniors en Guadeloupe,https://www.youtube.com/watch?v=V1uv_HR_xOk,""Magazine 123 Santé  L'isolement des séniors  Pr TABUE TEGUO Maturin Professeur des Universités Chef de service de Gériatrie – CHUG  Dr FANON Jean Luc Chef de service Gériatrie – CHU Martinique  Production Songuart Prod"",""santé prévention magazine éducaion témoignage"",2022-03-18,""123 Santé"",4,264";;;;;;
"SURDITÉ : SORTIR DE L&#39;ISOLEMENT,https://www.youtube.com/watch?v=EP9ttqM1wUI,""Mener une vie normale quand on est sourd est loin d’être simple ! Même si la surdité a été reconnue comme un handicap en 2005, et a ainsi donné le droit aux sourds à des interprètes en langue des signes pour leurs rendez-vous importants, le combat n’est pas gagné. Le SIAVS, un service social du Finistère unique en France, se bat pour faire évoluer les pratiques, notamment dans le milieu médical… Aujourd’hui nous retrouvons Nicolas qui doit faire contrôler son implant cochléaire qui lui permet d’entendre à nouveau.  Voyez ce reportage de Sarah Dumont, Alexandre Moncayo, Stephan Joviado."",""surdité sourd sourd_isolés être_sourd"",2021-08-06,""Au Cœur de la Santé"",14,1193";;;;;;
"PourParlersRH - Télétravail -  Un risque d&#39;isolement,https://www.youtube.com/watch?v=7MsNRU4iGVA,""Avec une moyenne en France d’un jour de télétravail par semaine, peut-on parler de rupture du collectif de travail ? Non selon nos experts. Désormais, les entreprises sont parées tant technologiquement que juridiquement pour contrer ce phénomène. Explications.  Interview de Jean-Emmanuel Ray, Professeur à l’Université Paris I-Sorbonne, Xavier de Mazenod, Fondateur de ZeVillage.net et Eric Barbry, Avocat associé, Racine Avocats  Découvrez nos conférences d'actualités https://bit.ly/2Vsg8iG  =========================        NOS RÉSEAUX SOCIAUX  =========================  Wolters Kluwer   Site Web : https://www.wk-formation.fr​​​​      Facebook : https://www.facebook.com/Wolters-Kluw...​   Twitter : https://twitter.com/WoltersKluwerFr​​​​  LinkedIn : https://www.linkedin.com/company/wolt...​   -------------------------------------------------"",""Télétravail PourParlersRH teletravail conférences conferences"",2019-07-24,""Wolters Kluwer France"",1,377";;;;;;
"Fac : &quot;ultras&quot; contre non-grévistes,https://www.youtube.com/watch?v=0kfFDeGidzM,""La majorité était pourtant écrasante : lundi, 62% des étudiants avaient voté, à bulletin secret, pour la reprise des cours à la fac de Rennes II. Mais un groupe de jusqu'au-boutistes a décidé de poursuivre le blocage des amphis.  Productions Tony Comiti. Auteur : Michaëlle Gagnet."",""reportage documentaire grève greviste société étudiant Rennes blocage université amphis"",2018-11-07,""Documentaire Société"",1990,110017";;;;;;
"Tours : les étudiants mobilisés contre l&#39;isolement,https://www.youtube.com/watch?v=wBCKAkSHrnA,""Le 26 janvier, des étudiants de Tours se sont rassemblés à l'université de médecine pour réclamer le retour des cours en présentiel."",,2021-01-29,""Magazin Epjt"",1,74";;;;;;
"2- Les traumas et leurs conséquences sur le cerveau,https://www.youtube.com/watch?v=f52LsfG6dp8,""Les traumas blessent le cerveau. Dans cette vidéo vous verrez quels sont les impactes sur la physiologie. Les conséquences sont très concrètes et expliquent les problèmes rencontrés par les gens ayant vécu des accidents de la vie."",""porges van_der_kolk julien_renault ifscentre padovani le_doze ledoze trauma traumatisme stephen_porges deborah_dana padovanie psychologie souffrance psychologue bourges st_eloy_de_gy neuroception interoception"",2018-11-13,""IFS Centre"",4774,154681";;;;;;
"Faculté de médecine Paris Descartes - Des corps pour les vivants,https://www.youtube.com/watch?v=_YLxaiYJfBA,""Conférence prononcée par :  Professeur Philippe Charlier, Médecin légiste, Professeur à l'Université Versailles Saint-Quentin-en-Yvelines.   Les « Rencontres d'Hippocrate » sont des conférences mensuelles ouvertes au grand public, organisées par le Doyen Patrick Berche et Christian Hervé (Société Française et Francophone d'Ethique Médicale). Lors de ces soirées, des personnalités du monde de la politique, de la santé ou des sciences humaines et sociales viennent échanger et débattre avec le public sur des thématiques d'actualité liées à la santé et à l'éthique. Retrouvez le programme des conférences mensuelles sur notre site: http://www.medecine.parisdescartes.fr/"",""faculté médecine paris descartes rencontres hippocrate conférence berche SFFEM éthique le_coz charlier légale médico-légal ludes légiste"",2014-02-26,""Faculté de médecine Paris Descartes"",17,4234";;;;;;
"Lutter contre l&#39;isolement : les étudiants référents en résidence,https://www.youtube.com/watch?v=dZ9X3mU_R9o,""Afin de lutter contre l’isolement en résidences universitaires en cette période particulière, le gouvernement a créé des missions d’étudiants référents. Régulièrement des étudiants, formés, viennent frapper à la porte des résidents Crous pour prendre de leurs nouvelles et les orienter vers les bons interlocuteurs.   Merci à Kawtar et Jonathan pour leurs témoignages    Le Crous Amiens-Picardie a pour mission de favoriser l'amélioration des conditions de vie des étudiants, au quotidien, pour leur garantir les meilleures chances de réussite dans l'Aisne, l'Oise et la Somme. Pour cela, il gère les bourses et les aides financières, des résidences et des restaurants universitaires, vous permet de rencontrer des assistants sociaux, vous propose des activités culturelles et des offres d’emplois. Il travaille également à l’accueil des étudiants étrangers.   Abonnez-vous à notre chaîne sur YouTube : https://www.youtube.com/channel/UCxfI​...   Notre site : https://www.crous-amiens.fr/​  Suivez-nous sur  ️ Instagram : https://www.instagram.com/crousamiens​... ️ Facebook : https://www.facebook.com/CROUSAmiensP​...  ️ Twitter : https://twitter.com/crousamienspic​   #crous​ #étudiant​ #logement​ #résidenceuniversitaire #citéU"",,2021-02-12,CROUSAmiensPicardie,30,830";;;;;;
"L&#39;isolement et l&#39;enfer du logement en Suède,https://www.youtube.com/watch?v=1lQX6JntjNU,""Article :   http://amadrya.com/experience-erasmus-1/  Dans l'article du blog, je te raconte pourquoi j'ai voulu faire Erasmus dans le cadre de mes études, je te parle de la question de la langue (Suédois ? Anglais ? Français ?) et je te raconte mon départ, mes premières impressions et mon arrivée dans ma nouvelle Université.  Je te donne également plus de détails sur l'isolement dont j'ai souffert (la difficulté à rencontrer des suédois, l'anxiété sociale, et la question des logements étudiants). Si ces questions t'intéressent, je t'invite donc à faire un tour sur le blog !  J'espère que cette vidéo te plaira. Je te souhaite une très belle journée !   Mail : contact@amadrya.com"",""erasmus suède stockholm études licence lagom expat intégration université bilan_erasmus isolement logement sociabiliser"",2018-08-01,Amadrya,100,5258";;;;;;
"Conférence : « A votre santé / L’isolement social chez les aîné.e.s »,https://www.youtube.com/watch?v=xp9YgcnOYOs,""Cité Seniors vous propose, tout au long de l'année, des activités sociales et culturelles,  des conférences et des moments de rencontre. Une sélection de ces activités sont retransmises en direct sur cette chaîne et sont à voir ou à revoir !  Aujourd'hui,  découvrez notre conférence : « A votre santé / L’isolement social chez les aîné.e.s » avec la Dre Irene Bonada, Médecine interne-générale et Gériatrie et le Dr. Cyrus Hazeghi, FMH Psychiatrie et Psychothérapie, avec la participation de Christophe Peccoud, responsable du foyer de jour """" Les 5 Colosses"""""",""seniors cité_seniors genève geriatre conference"",2022-04-12,""Cité Seniors Genève"",2,119";;;;;;
"Isolement et anxiété sociale,https://www.youtube.com/watch?v=iGM9rWAksAE,""Hello ! Désolée pour la qualité d'image, j'avais un peu raté la mise au point... J'ai tourné cette vidéo il y a plusieurs jours déjà et la revoir quelques jours après me fait réaliser à quel point notre état d'esprit change au fil du temps qui passe, et assez rapidement.   J'espère que cette vidéo vous parlera et pourra éventuellement vous aider dans le cas où vous souffrez d'anxiété sociale.   Pour ma part, ce n'est pas tant le fait de revoir du monde que j'appréhende, que le fait de devoir à nouveau gérer des obligations extérieures car le fait d'avoir une routine de vie fixe m'apporte énormément de stabilité et de motivation dans mes projets.     J'ai cette tendance à beaucoup m'isoler et à vrai dire je n'ai absolument aucune idée de la manière dont je vivrais la fin du confinement, mais ce qui est sûr, c'est que j'apprécie énormément cette solitude.   N'hésitez pas à partager vos ressentis et de partager la manière dont vous vivez cette situation, après maintenant deux semaines. Avez-vous aussi le sentiment que ça devient normal, habituel, que vous vous êtes adapté(e) ou au contraire est-ce de plus en plus difficile pour vous ?   J'espère que vous allez bien, je vous souhaite une belle fin de journée.   _____________________________________________⁣ ️ contact@amadrya.com ️⁣ ⁣  Site web : http://amadrya.com/ ⁣  Instagram : https://www.instagram.com/amadrya ⁣  Facebook : https://www.facebook.com/Amadrya/ ⁣  Twitter : https://twitter.com/Amadrya_ ⁣  Pinterest : https://www.pinterest.fr/amadrya_/ ⁣ ⁣ Si la vidéo vous a plu, n’hésitez pas à vous abonner, liker, commenter et partager la vidéo ! C’est un soutien vraiment précieux ⁣ ⁣ Très belle journée à tous ! ⁣ ⁣"",,2020-03-31,Amadrya,128,2006";;;;;;
"Isolement social : le théâtre de La Criée ouvre ses portes aux étudiants,https://www.youtube.com/watch?v=02mJcGmScqw,""Depuis deux semaines, ils sont quelques chanceux à fouler les planches de La Criée. Sur autorisation de la Préfecture et en partenariat avec Aix-Marseille Université, près de 200 étudiants volontaires, sont accueillis par petits groupes dans le théâtre marseillais aux portes closes. Un rendez-vous pour sortir de son isolement quotidien et venir découvrir ce lieu de culture autrement.  Et pour les embarquer, la directrice Macha Makeïeff a imaginé un spectacle, La Magie du Plateau. Une oeuvre qui dévoile au spectateur installé dans son fauteuil, les rouages et petites mains qui s’affairent en coulisses.   Un moment de partage complété par la tenue d’ateliers de libre parole encadrés par des thérapeutes. """"Le Quai des étudiants"""" prendra fin ce 30 avril avec une ultime semaine consacrée à la médiation."",""Marseille Étudiants Isolement Covid-19"",2021-04-26,""La Provence"",6,213";;;;;;
"Témoignage schizophrénie, bouffées délirantes, érotomanie, psychiatrie, isolement, ...,https://www.youtube.com/watch?v=EKJQ9_8bUjM,""Si vous vous posez des questions sur le rapport entre la science / le diagnostic de schizophrénie, les antipsychotiques, la notion de """"guérison"""" etc ,... je vous conseille cette vidéo de Guillaume Fond : https://youtu.be/O0A1ej_8RVg   Voici le minutage comme promis :  o- Notion de """"vulnérabilité"""" psychotique, ce qui a pu beaucoup jouer pour moi lors de la grossesse ~ 1:40 o- Fragilité psychologique due à l'abandon de mon père (érotomanie, manque de confiance en soi, STRESS..) ~ 2:45 o- Arrivée en 5ème : une certaine """"descente aux enfers"""" ~ 5:55     - émergence d'une """"hyper-réflexion sociale"""", petits troubles psychotiques, importance des bonnes notes à mes yeux ~ 9:22     - parenthèse sur mon sommeil dans l'enfance ~11:15 o- Le lycée et ma peur des autres ~ 12:00 o- Emergence d'un sentiment de persécution envers ma mère ~ 13:32     [+ de 24:58 à 25'42] o- Mon entrée en première année de classe préparatoire ~16:35 o- 2ème année de classe prépa "; épuisement, vide, dépression ~ 25:42 o- Ma 1ère année d'école d'ingénieur ; désillusion, ennui, manque de sens ~ 29:33     - stage en exploitation agricole et maladresse, stress (=troubles cognitifs?) ~ 31:18     - les cours de tennis, focalisation sur un prof envers qui j'ai fait de l'érotomanie à ma première bouffée délirante ~ 33:37 o- Manque de soutien et solitude face à un évènement difficile ;" augmentation de mes """"perturbations"""" ~ 35:45 o- Entrée dans ma première bouffée délirante, sentiment de """"libération"""", la """"pureté"""" de ce premier épisode psychotique... ~ 42:25 o- Après cette première bouffée délirante ~ 46:20 o- 2ème bouffée délirante ~ 48:54 o- L'après de cette 2ème BDA ~ 51:58 o- 3ème bouffée délirante ~ 52:58      - fugue (~ 56:04) suivie de deux semaines en chambre d'isolement (~ 1:00:43)      - autres périodes en isolement ~ 1:05:10      - akathisie, levée de la contrainte.. ~ 1:06:19      [+ de 1:08:21 à 1'08'49 : les différents médicaments pris lors de l'hospitalisation ] o- 4ème et 5ème bouffée délirante ~ 1:07:05 o- CONCLUSION :      - importance de percevoir l'humain derrière la maladie et de comprendre l'histoire entière d'une personne ~ 1:12:56      - 1 an et demi sans neuroleptique et vécu du confinement ~ 1:13:38      - la difficulté de trouver un équilibre intérieur sur la perception de la maladie en soi entre discours médical et ressentis subjectifs ~ 1:15:16      - pour une bonne évolution, il faut savoir se raconter... ~ 1:16:04   Récap de mes bda: - 21ans, deux semaines d'hôpital fin décembre 2016, 3 mois d'abilify 10mg en  comprimés  - 22 ans, 1 mois d'hôpital mars 2018, pas de neuro (ai fait semblant) - 23 ans, 3mois 1/2 d'hôpital à partir de mi juillet, j'ai eu notamment des injections 300 et comprimés d'abilify, arrêt de tout dès ma sortie d'hôpital novembre 2018 - 23 ans, 2 semaines d'hôpital avril 2019, 1 seule injection 300 d'abilify (refus de tous les """"à côté"""") - 24 ans, 2 semaines d'hôpital février 2020, pas de neuro (ai fait semblant), unique hospitalisation avec levée de la contrainte contre l'avis de la psychiatre    o- POURQUOI UN TEMOIGNAGE SI LONG ?  Je ne l'ai pas clairement dit mais si je fais ce témoignage assez complet en ce qui concerne l'avant de ma première bda, c'est parce que je pense que l'entrée de la maladie est loin de se résumer à 2-3 mois avant la première crise ou un évènement en lui même. Dans la schizophrénie, il y a la vulnérabilité génétique et ENVIRONNEMENTALE. Par cette vidéo, je vous explique un peu en long, en large et en travers comment, à mon avis, le STRESS, les ANGOISSES etc... sont pour beaucoup dans la maladie chez moi (cortisol = toxique pour les neurones à forte dose et trop long terme), stress que j'ai ressenti très fort tout le long de ma scolarité, envers les autres...etc.. et je vous raconte un peu de tout ça ici.  Après, la sensibilité au stress est peut-être un signe de maladie elle-même mais l'abandon de mon père et le sentiment d'infériorité que ça a plus ou moins provoqué,  mon manque profond de confiance en moi, mon """"acharnement"""" dans des études difficiles et qui ne me convenaient pas, la solitude etc... ne m'ont à mon avis pas beaucoup aidée .. et ce genre de choses sont compréhensibles qu'à un niveau """"psychologique"""", d'où, comme je l'ai dit, cette vidéo longue pour tenter de vous expliquer avec mes mots. Si je vous raconte aussi un peu la suite, la chambre d'isolement, un peu de mes hospitalisations dans cette vidéo unique, c'est peut être pour qu'on perçoive mieux à quel point la souffrance peut entraîner la souffrance avec la psychiatrie actuelle et à quel point c'est cruel...  o- Autre point que je n'ai pas rappelé : Je n'ai JAMAIS aimé AUCUNE DROGUE quelle qu'elle soit ( cigarette, cannabis, alcool etc.. ) Dans ma vie entière, je dirais qu'en terme de toxiques, je n'ai pas dépassé 1 bouffée de fumée de cigarette au collège et une cinquantaine de verres d'alcool très grand max... lol    A bientôt et prenez soin de vous :)"",""schizophrénie psychiatrie psychose témoignage érotomanie parcours temoignage"",2020-09-24,""Maï na"",206,8714";;;
"Cycle Parentalité #3 : Parentalité &amp; Isolement,https://www.youtube.com/watch?v=6hgBrzAqml0,""Cycle Parentalité 2021 #3 : Parentalité & Isolement. Comment s'en sortir ?  Le “parcours” des parents est jalonné de moments de doutes et de remise en question. Peu importe l'âge, le sexe, la catégorie socio-professionnelle ou encore son origine, tout un chacun peut se sentir isolé et submergé par la responsabilité qu’implique le fait d’être parent. Alors, pour s’en sortir, des dispositifs associatifs et étatiques se mettent en place."",,2021-09-10,""Croix-Rouge française"",4,347";;;;;;
